"tract","Name","Poverty_Rate_in_2012-16"
24003750102,"Baltimore, MD",0.1913
24510270801,"Idlewood, Baltimore, MD",0.188
24510260101,"Cedmont, Baltimore, MD",0.1872
24510271700,"Central Park Heights, Baltimore, MD",0.187
24510250103,"Violetville, Baltimore, MD",0.1865
24510261000,"Patterson Park, Baltimore, MD",0.1847
24510272005,"Cross Country, Baltimore, MD",0.1845
24510270804,"Lake Walker, Baltimore, MD",0.1839
24510160801,"Edmondson, Baltimore, MD",0.1834
24510230100,"Baltimore, MD",0.1816
24510260202,"Parkside, Baltimore, MD",0.1803
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.1774
24510260201,"Frankford, Baltimore, MD",0.1773
24510140100,"Bolton Hill, Baltimore, MD",0.1768
24005421102,"Dundalk, MD",0.176
24510120700,"Remington, Baltimore, MD",0.1734
24005490800,"Towson, MD",0.1729
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.1722
24005430900,"Baltimore, MD",0.1678
24510150400,"Mondawmin, Baltimore, MD",0.1621
24510250205,"Lakeland, Baltimore, MD",0.1616
24510090500,"Better Waverly, Baltimore, MD",0.1602
24510270802,"Ramblewood, Baltimore, MD",0.1591
24003750201,"Brooklyn, Baltimore, MD",0.158
24510151100,"East Arlington, Baltimore, MD",0.1569
24510130804,"Hampden, Baltimore, MD",0.1559
24005420702,"Dundalk, MD",0.1524
24005420800,"Dundalk, MD",0.1521
24510020200,"Upper Fells Point, Baltimore, MD",0.1518
24005401102,"Gwynn Oak, Woodlawn, MD",0.15
24005420401,"Dundalk, MD",0.15
24510270401,"Glenham-Belford, Baltimore, MD",0.1478
24005430400,"Halethorpe, MD",0.1471
24510080101,"Belair - Edison, Baltimore, MD",0.1469
24005491402,"Parkville, MD",0.1431
24510250102,"Yale Heights, Baltimore, MD",0.1428
24005491401,"Parkville, MD",0.1418
24510270803,"Loch Raven, Baltimore, MD",0.141
24005441102,"Rosedale, MD",0.14
24005490602,"Baltimore, MD",0.1395
24005440300,"Nottingham, MD",0.1384
24005450300,"Essex, MD",0.138
24510130805,"Cold Springs, Baltimore, MD",0.1377
24005421101,"Baltimore, MD",0.1376
24005400200,"Catonsville, MD",0.1365
24005421200,"Dundalk, MD",0.135
24510270502,"North Harford Road, Baltimore, MD",0.1341
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1325
24005450400,"Essex, MD",0.1291
24510160802,"Edmondson, Baltimore, MD",0.1281
24003750803,"Glen Burnie, MD",0.128
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1278
24003730402,"Glen Burnie, MD",0.1271
24003731309,"Riviera Beach, MD",0.1269
24003730300,"Glen Burnie, MD",0.1267
24005420302,"Dundalk, MD",0.1254
24003730203,"Glen Burnie, MD",0.1248
24003750300,"Linthicum Heights, MD",0.124
24510270302,"Waltherson, Baltimore, MD",0.1218
24510280401,"Baltimore, MD",0.121
24003750202,"Brooklyn Park, MD",0.1193
24003750804,"Glen Burnie, MD",0.1184
24005401101,"Woodlawn, MD",0.1162
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.116
24510130806,"Woodberry, Baltimore, MD",0.1159
24005491202,"Towson, MD",0.1153
24510260102,"Frankford, Baltimore, MD",0.1152
24005490302,"Towson, MD",0.1138
24005411303,"Nottingham, MD",0.1127
24510270805,"Mid-Govans, Baltimore, MD",0.1126
24510270301,"Lauraville, Baltimore, MD",0.1126
24510260501,"Joseph Lee, Baltimore, MD",0.1122
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.1113
24510220100,"Baltimore, MD",0.1106
24005440200,"Nottingham, MD",0.1103
24510010200,"Patterson Park, Baltimore, MD",0.1062
24510270901,"New Northwood, Baltimore, MD",0.1056
